Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Consumption
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,176,0,M017600,,,"S.J. Fuel Co., Inc.",4242960,3/1/12,2/24/12,3/26/12,31,495416070202007-OIL-20.4%,N         ,"$30,233.72 ",8756.29
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,15,0,M001500,,,"S.J. Fuel Co., Inc.",4242964,4/1/12,3/26/12,4/24/12,29,495416070202007-OIL-79.6%,N         ,"$72,858.44 ",21614.58
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,176,0,M017600,,,"S.J. Fuel Co., Inc.",4242964,4/1/12,3/26/12,4/24/12,29,495416070202007-OIL-20.4%,N         ,"$18,672.26 ",5539.42
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,15,0,M001500,,,"S.J. Fuel Co., Inc.",4242966,5/1/12,4/24/12,5/23/12,29,495416070202007-OIL-79.6%,N         ,"$32,216.45 ",10201.54
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,176,0,M017600,,,"S.J. Fuel Co., Inc.",4242966,5/1/12,4/24/12,5/23/12,29,495416070202007-OIL-20.4%,N         ,"$8,256.48 ",2614.46
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,15,0,M001500,,,"S.J. Fuel Co., Inc.",4242969,6/1/12,5/23/12,6/22/12,30,495416070202007-OIL-79.6%,N         ,"$29,264.13 ",10201.54
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,176,0,M017600,,,"S.J. Fuel Co., Inc.",4242969,6/1/12,5/23/12,6/22/12,30,495416070202007-OIL-20.4%,N         ,"$7,499.85 ",2614.46
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,15,0,M001500,,,"S.J. Fuel Co., Inc.",4242977,7/1/12,6/22/12,7/24/12,32,495416070202007-OIL-79.6%,N         ,"$29,723.36 ",9620.46
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,176,0,M017600,,,"S.J. Fuel Co., Inc.",4242977,7/1/12,6/22/12,7/24/12,32,495416070202007-OIL-20.4%,N         ,"$7,617.55 ",2465.54
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,15,0,M001500,,,"S.J. Fuel Co., Inc.",4242981,8/1/12,7/24/12,8/22/12,29,495416070202007-OIL-79.6%,N         ,"$70,780.85 ",21182.36
